final_rank_w60,wap_name,scorecard_name,CS_prestige_rank,CS_springrank_score,cs_median_earnings,cs_cohort,z_P,z_S,combined_w50,combined_w60,combined_w70,rank_w50,rank_w60,rank_w70,salary_premium_usd,rank_move_across_w,low_robustness_flag,pseo_earnings
58,University of Massachusetts Lowell,University of Massachusetts-Lowell,128.0,0.11710174501882024,98777.76863753214,389.0,-0.5958306109087843,-1.0451682594240208,-0.8204994351664026,-0.7755656703148789,-0.7306319054633552,59,58,56,-30110.071032511303,3,False,114420.10801186944
59,Florida State University,Florida State University,79.0,0.11013924588752709,93727.0,409.0,-0.6149466320454647,-1.1625694676847325,-0.8887580498650987,-0.8339957663011719,-0.7792334827372451,61,59,57,-34684.26084165953,4,False,
60,Wright State University,Wright State University-Main Campus,155.0,0.09125113857613956,92006.0,122.0,-0.666805232210103,-1.2025727808270679,-0.9346890065185854,-0.881112251656889,-0.8275354967951924,63,60,58,-35112.38139088983,5,False,91565.0
61,Purdue University,Purdue University-Main Campus,37.0,-0.11933496118788954,127342.06145251397,358.0,-1.2449838801739133,-0.38121337844373077,-0.813098629308822,-0.8994756794818403,-0.9858527296548585,58,61,61,14638.170434542742,3,False,110485.78663470183
62,University of Florida,University of Florida,53.0,-0.1348687998866935,126268.0,201.0,-1.2876331047268461,-0.40617910570638494,-0.8469061052166156,-0.9350515051186616,-1.0231969050207077,60,62,62,14627.390787567143,2,False,
63,"University of California, Santa Cruz",University of California-Santa Cruz,57.0,-0.1525593010987704,123422.0,479.0,-1.3362035948212159,-0.4723321732270628,-0.9042678840241394,-0.9906550261835546,-1.0770421683429698,62,63,64,12992.294829663588,2,False,
64,University of Texas Arlington,The University of Texas at Arlington,108.0,-0.011586674569539292,91282.43554006968,287.0,-0.9491535345470071,-1.219391476741802,-1.0842725056444045,-1.057248711424925,-1.0302249172054456,65,64,63,-28796.760124784894,2,False,100345.46153846153
65,Illinois Institute of Technology,Illinois Institute of Technology,74.0,-0.1390188896265646,108123.3125,128.0,-1.2990274620819418,-0.8279383247257451,-1.0634828934038434,-1.1105918071394631,-1.1577007208750827,64,65,65,-3233.2255953498534,1,False,
66,University of Georgia,University of Georgia,88.0,-0.17618497968461627,107397.0,201.0,-1.401069523376322,-0.8448208967052294,-1.1229452100407757,-1.178570072707885,-1.2341949353749941,66,66,67,-1415.5418489635922,1,False,104421.0
67,University of Kentucky,University of Kentucky,94.0,-0.08857281117838421,89924.24137931035,174.0,-1.160524277565357,-1.250961648921318,-1.2057429632433374,-1.1966992261077414,-1.1876554889721453,69,67,66,-24885.300085956143,3,False,
68,Utah State University,Utah State University,176.0,-0.1529839251696417,99977.67924528301,212.0,-1.337369429467778,-1.0172772659407738,-1.177323347704276,-1.2093325640569763,-1.2413417804096767,68,68,68,-10422.960665814811,0,False,100343.18292682926
69,Indiana University - Bloomington,Indiana University-Bloomington,69.0,-0.16360205802599773,101528.90548204159,529.0,-1.3665222448989351,-0.9812202125394606,-1.173871228719198,-1.2124014319551453,-1.2509316351910928,67,69,69,-8144.929696892912,2,False,97842.64959901295
70,University of North Carolina Charlotte,University of North Carolina at Charlotte,144.0,-0.1515850764763237,91957.78295819936,622.0,-1.3335287939884428,-1.2036935486492342,-1.2686111713188386,-1.2815946958527593,-1.2945782203866802,70,70,70,-18538.60729466175,0,False,92733.97674418605
