field,level,period,n_institutions,gap,spearman,signal_frac,ci_lo,ci_hi,synth_lo,synth_hi,reliable_flag,reliable,cip2,se
human_dev,undergrad,2011-2020,31,0.42016129032258065,0.5798387096774194,0.7899593576651155,0.22348878312577736,0.7287547916096604,0.04596774193548392,0.18992943548387087,True,True,19,0.12889438991935792
industrial_engineering,undergrad,2011-2020,39,0.5064777327935223,0.49352226720647774,0.02,0.23913228554316646,0.8574350347573323,0.5580921052631579,1.1757236842105263,False,False,14,0.15773029316687903
kinesiology,undergrad,2011-2020,70,0.3811740005248885,0.6188259994751115,0.7429141267514289,0.2550111962760927,0.5662326374498545,0.08379756801679654,0.19715248009797914,True,True,31,0.08
linguistics,undergrad,2011-2020,26,0.4977777777777779,0.5022222222222221,0.48269865482451146,0.2341849911452184,0.8462168217855912,0.1449572649572649,0.5395213675213675,False,False,16,0.15613056904091144
management,undergrad,2011-2020,90,0.5248055315471045,0.4751944684528954,0.852183375537622,0.3790126610826031,0.7028475275154171,0.04329958431082034,0.11099394987035441,True,True,52,0.08261093531449337
marketing,undergrad,2011-2020,81,0.4815266485998193,0.5184733514001807,0.8572949217736613,0.31639303164196053,0.6751177230167074,0.046341463414634076,0.11023430442637774,True,True,52,0.0915114008609048
materials_science,undergrad,2011-2020,23,0.48814229249011853,0.5118577075098815,0.02,0.23194282834476776,0.8949419853313019,0.5296442687747036,1.3518280632411066,False,False,14,0.16913243800676891
mathematics,undergrad,2011-2020,120,0.3844294742690466,0.6155705257309534,0.8669570396855154,0.28444553002425677,0.5041362174678738,0.042863393291200966,0.09712254323216919,True,True,27,0.08
mechanical_engineering,undergrad,2011-2020,133,0.3819854469569246,0.6180145530430754,0.18269129811996473,0.280492161991172,0.50654183166611,0.41811014986584516,0.7205356505238674,False,False,14,0.08
microbiology,undergrad,2011-2020,17,0.9338235294117647,0.06617647058823531,0.02,0.4881136543739464,1.4255408659558626,0.41666666666666663,1.3750612745098039,False,False,26,0.23913959479130517
music,undergrad,2011-2020,76,0.9607655502392345,0.039234449760765545,0.4652833013426616,0.7371123326304999,1.2107347327492712,0.2184237867395763,0.45120437457279555,False,False,50,0.12082204084662534
neuroscience,undergrad,2011-2020,1,,,,,,,,False,False,26,
nursing,undergrad,2011-2020,99,0.9270871985157699,0.07291280148423006,0.6704375583208504,0.7337003134170811,1.132542896457151,0.11595516388373539,0.2566852195423624,True,True,51,0.101745556897977
nutrition,undergrad,2011-2020,30,0.731924360400445,0.26807563959955505,0.02,0.37272816104888307,1.070490017335704,0.5214571746384873,1.2382758620689656,False,False,30,0.17800047354255635
pharmacy,undergrad,2011-2020,8,0.5714285714285714,0.4285714285714286,0.9252362279712835,0.0273972602739726,1.2911392405063291,0.0,0.09523809523809523,False,False,51,0.32238315822253993
philosophy,undergrad,2011-2020,41,0.656794425087108,0.34320557491289205,0.6026849810458851,0.43033734723795347,0.9500186814191209,0.12763937282229937,0.377460801393728,True,True,38,0.1325717689237672
physics,undergrad,2011-2020,43,0.6547870733917245,0.34521292660827546,0.341147058782307,0.39224692658127636,0.9368520427366179,0.24780277861673208,0.6292736333434008,False,False,40,0.1389298765702402
physiology,undergrad,2011-2020,16,1.3441176470588236,-0.34411764705882353,0.26077534252053597,0.807642507978831,1.7268512414853878,0.17639705882352935,0.8382352941176471,False,False,26,0.23449202385371348
political_science,undergrad,2011-2020,139,0.3430090710040664,0.6569909289959336,0.7237827992916619,0.2596432479604893,0.44350304844022703,0.09907647794807645,0.19624793333035453,True,True,45,0.08
psychology,undergrad,2011-2020,173,0.42872373465102365,0.5712762653489764,0.7658712656561861,0.3397293544788297,0.5496011014426025,0.07715210145968798,0.1576157923525131,True,True,42,0.08
public_health,undergrad,2011-2020,32,0.4420821114369502,0.5579178885630498,0.6561822172236617,0.20605195507889473,0.7774357952422468,0.09089992668621705,0.314891862170088,False,False,51,0.14576118371514085
religious_studies,undergrad,2011-2020,6,0.9142857142857143,0.08571428571428573,0.02,0.0,1.8000000000000003,0.22714285714285717,1.7714285714285714,False,False,38,0.4591836734693878
social_work,undergrad,2011-2020,68,0.5516046837666929,0.4483953162333071,0.1443425685830825,0.3756966164752339,0.7642595179560312,0.42094419208306294,0.8260993625224262,False,False,44,0.09912318915326462
sociology,undergrad,2011-2020,114,0.4300115429011159,0.5699884570988841,0.5142813756373609,0.33483984038891745,0.5459714543415642,0.19665093862011693,0.36953119620906816,False,False,45,0.08
spanish,undergrad,2011-2020,30,0.6238042269187987,0.37619577308120133,0.6711327902906745,0.3342849112108609,1.0069352833498417,0.07963292547274757,0.31065628476084534,True,True,16,0.17159448268851552
special_education,undergrad,2011-2020,19,0.4508771929824561,0.5491228070175439,0.1337772507692189,0.174861507404118,0.8971490602064184,0.2947368421052632,1.1035526315789475,False,False,13,0.18425702877609704
statistics,undergrad,2011-2020,28,0.24630541871921174,0.7536945812807883,0.7829352630687658,0.12636796839684927,0.4696466821218154,0.04103721948549541,0.2331828133552272,False,False,27,0.08757110044004238
teacher_ed_subjects,undergrad,2011-2020,36,0.7678249678249678,0.23217503217503221,0.5476620470925615,0.49332530700778987,1.1184891677814068,0.1093629343629343,0.374021879021879,True,True,13,0.1594805767279635
theatre,undergrad,2011-2020,46,0.6237434474252236,0.3762565525747764,0.3930556316190534,0.35887967138455856,0.9051344697043882,0.22491520197348142,0.5722849213691027,False,False,50,0.13935071385709938
theology,undergrad,2011-2020,2,,,,,,,,False,False,39,
urban_planning,undergrad,2011-2020,12,0.8741258741258742,0.1258741258741259,0.02,0.3049491211840887,1.5360714285714285,0.30751748251748245,1.4968531468531467,False,False,04,0.31406181310901526
